Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[individual]	Characteristics[organism part]	Characteristics[biopsy site]	Characteristics[phenotype]	Characteristics[single cell quality]	Material Type	Description	Protocol REF	Protocol REF	Performer	Extract Name	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[spike sequence file]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]
P25	ERS559135	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P25	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P25	sequencing assay	ERX604303	P25.fastq.gz	P25.fastq.gz	ERR647946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647946/ERR647946.fastq.gz	24
P6	ERS559159	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P6	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P6	sequencing assay	ERX604327	P6.fastq.gz	P6.fastq.gz	ERR647947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647947/ERR647947.fastq.gz	5
P28	ERS559166	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P28	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P28	sequencing assay	ERX604334	P28.fastq.gz	P28.fastq.gz	ERR647948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647948/ERR647948.fastq.gz	27
P21	ERS559142	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P21	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P21	sequencing assay	ERX604310	P21.fastq.gz	P21.fastq.gz	ERR647949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647949/ERR647949.fastq.gz	20
P18	ERS559163	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P18	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P18	sequencing assay	ERX604331	P18.fastq.gz	P18.fastq.gz	ERR647950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647950/ERR647950.fastq.gz	17
P3	ERS559143	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P3	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P3	sequencing assay	ERX604311	P3.fastq.gz	P3.fastq.gz	ERR647951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647951/ERR647951.fastq.gz	2
P14	ERS559150	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P14	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P14	sequencing assay	ERX604318	P14.fastq.gz	P14.fastq.gz	ERR647952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647952/ERR647952.fastq.gz	13
P29	ERS559132	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P29	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P29	sequencing assay	ERX604300	P29.fastq.gz	P29.fastq.gz	ERR647953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647953/ERR647953.fastq.gz	28
P24	ERS559167	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P24	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P24	sequencing assay	ERX604335	P24.fastq.gz	P24.fastq.gz	ERR647954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647954/ERR647954.fastq.gz	23
P20	ERS559155	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P20	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P20	sequencing assay	ERX604323	P20.fastq.gz	P20.fastq.gz	ERR647955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647955/ERR647955.fastq.gz	19
P41	ERS559158	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P41	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P41	sequencing assay	ERX604326	P41.fastq.gz	P41.fastq.gz	ERR647956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647956/ERR647956.fastq.gz	38
P13	ERS559148	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P13	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P13	sequencing assay	ERX604316	P13.fastq.gz	P13.fastq.gz	ERR647957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647957/ERR647957.fastq.gz	12
P27	ERS559160	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P27	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P27	sequencing assay	ERX604328	P27.fastq.gz	P27.fastq.gz	ERR647958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647958/ERR647958.fastq.gz	26
P40	ERS559154	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P40	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P40	sequencing assay	ERX604322	P40.fastq.gz	P40.fastq.gz	ERR647959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647959/ERR647959.fastq.gz	37
P19	ERS559164	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P19	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P19	sequencing assay	ERX604332	P19.fastq.gz	P19.fastq.gz	ERR647960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647960/ERR647960.fastq.gz	18
P30	ERS559138	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P30	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P30	sequencing assay	ERX604306	P30.fastq.gz	P30.fastq.gz	ERR647961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647961/ERR647961.fastq.gz	29
P39	ERS559139	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P39	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P39	sequencing assay	ERX604307	P39.fastq.gz	P39.fastq.gz	ERR647962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647962/ERR647962.fastq.gz	36
